,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
68,4.874352073669433,0.8668167009662823,0.008880281448364257,0.011621824376201514,0.1,"(50, 100, 50)",1500,"{'alpha': 0.1, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1500}",0.5534804753820034,0.5365025466893039,0.568760611205433,0.5466893039049237,0.5127334465195246,0.5436332767402376,0.01867263441068597,61
69,1.44559588432312,0.285966391001657,0.002801990509033203,0.002538530427125526,0.1,"(100,)",500,"{'alpha': 0.1, 'hidden_layer_sizes': (100,), 'max_iter': 500}",0.5636672325976231,0.5721561969439728,0.5517826825127334,0.5449915110356537,0.5449915110356537,0.5555178268251273,0.010759239061293596,22
70,1.4065426349639893,0.2589525754019764,0.00334315299987793,0.0030627362786933704,0.1,"(100,)",1000,"{'alpha': 0.1, 'hidden_layer_sizes': (100,), 'max_iter': 1000}",0.5636672325976231,0.5721561969439728,0.5517826825127334,0.5449915110356537,0.5449915110356537,0.5555178268251273,0.010759239061293596,22
71,1.4250434398651124,0.24730288225345956,0.002431297302246094,0.002975082604575416,0.1,"(100,)",1500,"{'alpha': 0.1, 'hidden_layer_sizes': (100,), 'max_iter': 1500}",0.5636672325976231,0.5721561969439728,0.5517826825127334,0.5449915110356537,0.5449915110356537,0.5555178268251273,0.010759239061293596,22
72,1.250752067565918,0.1436111222299373,0.0032473087310791017,0.0032110035521641855,1,"(50,)",500,"{'alpha': 1, 'hidden_layer_sizes': (50,), 'max_iter': 500}",0.5568760611205433,0.5704584040747029,0.5704584040747029,0.5246179966044142,0.5263157894736842,0.5497453310696094,0.020441313335541517,52
73,1.2122967720031739,0.12232087605759501,0.00567479133605957,0.0032919093226158745,1,"(50,)",1000,"{'alpha': 1, 'hidden_layer_sizes': (50,), 'max_iter': 1000}",0.5568760611205433,0.5704584040747029,0.5704584040747029,0.5246179966044142,0.5263157894736842,0.5497453310696094,0.020441313335541517,52
74,1.2424728870391846,0.10690714718082255,0.0031377792358398436,0.0022723814402827586,1,"(50,)",1500,"{'alpha': 1, 'hidden_layer_sizes': (50,), 'max_iter': 1500}",0.5568760611205433,0.5704584040747029,0.5704584040747029,0.5246179966044142,0.5263157894736842,0.5497453310696094,0.020441313335541517,52
75,2.6049411296844482,0.4018939922816151,0.007044363021850586,0.0038335725907454473,1,"(100, 50)",500,"{'alpha': 1, 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.5517826825127334,0.5704584040747029,0.5755517826825127,0.5415959252971138,0.534804753820034,0.5548387096774194,0.015868687871711945,28
76,3.0406790256500242,0.5894084306589233,0.004069805145263672,0.0025009825616691727,1,"(100, 50)",1000,"{'alpha': 1, 'hidden_layer_sizes': (100, 50), 'max_iter': 1000}",0.5517826825127334,0.5704584040747029,0.5755517826825127,0.5415959252971138,0.534804753820034,0.5548387096774194,0.015868687871711945,28
77,3.0874876499176027,0.7612198899004162,0.0034480571746826174,0.0030089608001413,1,"(100, 50)",1500,"{'alpha': 1, 'hidden_layer_sizes': (100, 50), 'max_iter': 1500}",0.5517826825127334,0.5704584040747029,0.5755517826825127,0.5415959252971138,0.534804753820034,0.5548387096774194,0.015868687871711945,28
78,7.5993406772613525,1.4265041895850183,0.008098745346069336,0.005766472272548144,1,"(100, 100, 100)",500,"{'alpha': 1, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 500}",0.5772495755517827,0.5568760611205433,0.5840407470288624,0.5483870967741935,0.5263157894736842,0.5585738539898133,0.0207102895510722,7
79,9.400180387496949,2.1086259998324195,0.005077886581420899,0.0022949000234923694,1,"(100, 100, 100)",1000,"{'alpha': 1, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1000}",0.5772495755517827,0.5568760611205433,0.5840407470288624,0.5483870967741935,0.5263157894736842,0.5585738539898133,0.0207102895510722,7
80,8.037729120254516,1.7563300006341707,0.008839559555053712,0.005615934387110227,1,"(100, 100, 100)",1500,"{'alpha': 1, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1500}",0.5772495755517827,0.5568760611205433,0.5840407470288624,0.5483870967741935,0.5263157894736842,0.5585738539898133,0.0207102895510722,7
81,3.737848329544067,1.2120334784508604,0.003850078582763672,0.001720635455593599,1,"(50, 50, 50)",500,"{'alpha': 1, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 500}",0.5534804753820034,0.568760611205433,0.5823429541595926,0.5449915110356537,0.5415959252971138,0.5582342954159593,0.015276362484484895,10
