,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
53,0.42449302673339845,0.008535173998784054,0.025380325317382813,0.003693365380840762,5,2,200,"{'max_depth': 5, 'max_features': 2, 'n_estimators': 200}",0.5755517826825127,0.6078098471986417,0.5942275042444821,0.5551782682512734,0.5772495755517827,0.5820033955857385,0.01788413457692859,6
54,0.027488136291503908,0.002189148153177735,0.004722499847412109,0.002960367452546935,5,3,10,"{'max_depth': 5, 'max_features': 3, 'n_estimators': 10}",0.5704584040747029,0.601018675721562,0.5908319185059423,0.5619694397283531,0.5721561969439728,0.5792869269949066,0.014382219751814864,11
55,0.23249597549438478,0.004575430764209982,0.013041448593139649,0.0023710682616231737,5,3,100,"{'max_depth': 5, 'max_features': 3, 'n_estimators': 100}",0.5874363327674024,0.6061120543293718,0.5959252971137521,0.5585738539898133,0.5789473684210527,0.5853989813242785,0.016156709342438427,2
56,0.4608257293701172,0.007654748828679766,0.026282262802124024,0.003211346576679694,5,3,200,"{'max_depth': 5, 'max_features': 3, 'n_estimators': 200}",0.5874363327674024,0.6078098471986417,0.5942275042444821,0.5585738539898133,0.5772495755517827,0.5850594227504244,0.01655152136767934,3
57,0.02856788635253906,0.0010180897514028811,0.0025530338287353517,0.0015591902485028203,5,4,10,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 10}",0.5772495755517827,0.6129032258064516,0.597623089983022,0.5602716468590832,0.5415959252971138,0.5779286926994907,0.025469156662273926,19
58,0.24883809089660644,0.002599711641173332,0.012637948989868164,0.0032408750706514056,5,4,100,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 100}",0.5840407470288624,0.6095076400679117,0.5959252971137521,0.5568760611205433,0.5755517826825127,0.5843803056027165,0.017884134576928595,4
59,0.5166056632995606,0.02103093085780679,0.026632165908813475,0.004467721613932896,5,4,200,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 200}",0.5874363327674024,0.6078098471986417,0.5959252971137521,0.567062818336163,0.5738539898132428,0.5864176570458404,0.01470723791355361,1
60,0.0329345703125,0.0035367960240188226,0.004627752304077149,0.003172325070806165,5,5,10,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 10}",0.5857385398981324,0.5806451612903226,0.6044142614601019,0.5721561969439728,0.5415959252971138,0.5769100169779287,0.02058184374966621,26
61,0.2974052429199219,0.022142041232180536,0.014912605285644531,0.00454827666600707,5,5,100,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 100}",0.5789473684210527,0.6078098471986417,0.5959252971137521,0.5602716468590832,0.5534804753820034,0.5792869269949066,0.020581843749666186,11
62,0.5287876605987549,0.004884876850934882,0.023580074310302734,0.004031444278256443,5,5,200,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 200}",0.5857385398981324,0.6061120543293718,0.5925297113752123,0.5636672325976231,0.5568760611205433,0.5809847198641765,0.01826686269108693,8
63,0.03425912857055664,0.00425474946491562,0.004008722305297851,0.0035993947453270827,5,6,10,"{'max_depth': 5, 'max_features': 6, 'n_estimators': 10}",0.5772495755517827,0.5959252971137521,0.5908319185059423,0.5568760611205433,0.5432937181663837,0.5728353140916809,0.02001956261186236,42
64,0.2889914035797119,0.005349261411183182,0.013238859176635743,0.0021595426956448503,5,6,100,"{'max_depth': 5, 'max_features': 6, 'n_estimators': 100}",0.5857385398981324,0.6044142614601019,0.5925297113752123,0.5602716468590832,0.5534804753820034,0.5792869269949067,0.019369725904178847,9
65,0.5685771942138672,0.012571255316560209,0.023710060119628906,0.0031499905453397947,5,6,200,"{'max_depth': 5, 'max_features': 6, 'n_estimators': 200}",0.5806451612903226,0.6027164685908319,0.5959252971137521,0.5636672325976231,0.5534804753820034,0.5792869269949066,0.018641734779369513,11
66,0.03289079666137695,0.0031677194973251128,0.0029236316680908204,0.0024801799486468042,5,7,10,"{'max_depth': 5, 'max_features': 7, 'n_estimators': 10}",0.5840407470288624,0.5925297113752123,0.5823429541595926,0.5534804753820034,0.5432937181663837,0.5711375212224109,0.019166269326546807,46
67,0.3026734352111816,0.002331287084802229,0.015208244323730469,0.0014394118074321951,5,7,100,"{'max_depth': 5, 'max_features': 7, 'n_estimators': 100}",0.5823429541595926,0.6027164685908319,0.6027164685908319,0.5602716468590832,0.5483870967741935,0.5792869269949066,0.02201638720196584,11
68,0.5977426528930664,0.007983449954851793,0.026841163635253906,0.002774756141687681,5,7,200,"{'max_depth': 5, 'max_features': 7, 'n_estimators': 200}",0.5789473684210527,0.601018675721562,0.599320882852292,0.5636672325976231,0.5517826825127334,0.5789473684210528,0.019357817064501497,16
69,0.03314242362976074,0.0020459690271103803,0.006276321411132812,0.001606432924899535,5,8,10,"{'max_depth': 5, 'max_features': 8, 'n_estimators': 10}",0.5789473684210527,0.597623089983022,0.5925297113752123,0.5517826825127334,0.5500848896434635,0.5741935483870967,0.019956109004978097,38
70,0.3157374382019043,0.003925349095968148,0.012474822998046874,0.0030493188939614588,5,8,100,"{'max_depth': 5, 'max_features': 8, 'n_estimators': 100}",0.5789473684210527,0.6078098471986417,0.597623089983022,0.5551782682512734,0.5500848896434635,0.5779286926994907,0.022692067160072823,19
